leaf_id,region_code,region,v1x,v1y,v2x,v2y,v3x,v3y,area,qv1x,qv1y,qv2x,qv2y,qv3x,qv3y
1,1,INSIDE,-96.7207,41.7424,-96.7333,41.7422,-96.7207,41.7422,1.29076e-06,993560291,996011786,993410018,996007708,993560628,996006905
2,2,OUTSIDE,-96.7208,41.7425,-96.7207,41.7422,-96.7107,41.7421,1.5233e-06,993560127,996014165,993560628,996006905,993680119,996006268
3,2,OUTSIDE,-96.9486,41.7429,-96.995,41.7429,-96.9721,41.7428,1.7261e-06,990841915,996024999,990288075,996024350,990560929,996022895
4,2,OUTSIDE,-96.9486,41.7429,-96.9721,41.7428,-96.9487,41.7428,1.77141e-06,990841915,996024999,990560929,996022895,990840945,996021403
5,1,INSIDE,-96.933,41.7427,-96.9485,41.743,-96.9487,41.7428,1.91632e-06,991028044,996020405,990842515,996027226,990840945,996021403
6,1,INSIDE,-96.7906,41.7431,-96.8196,41.7426,-96.8196,41.7424,1.86826e-06,992726389,996029510,992381281,996016285,992381028,996013193
7,2,OUTSIDE,-96.7907,41.7424,-96.7784,41.7423,-96.7784,41.7426,1.64257e-06,992725662,996011356,992872789,996010571,992872930,996016927
8,2,OUTSIDE,-96.7634,41.7423,-96.7784,41.7426,-96.7784,41.7423,2.18407e-06,993051365,996009619,992872943,996017534,992872789,996010571
9,1,INSIDE,-97.0194,42.0906,-97.0185,42.0377,-96.9598,41.8345,0.00145941,989997609,1004320287,990008283,1003059154,990708181,998209978
10,2,OUTSIDE,-96.7634,41.7423,-96.7249,41.7423,-96.7207,41.7424,1.02121e-06,993051365,996009619,993510365,996010431,993560291,996011786
11,2,OUTSIDE,-96.6749,41.742,-96.7208,41.7425,-96.7187,41.7424,1.11733e-06,994107070,996003992,993560127,996014165,993584759,996012544
12,2,OUTSIDE,-96.5465,41.7417,-96.5822,41.7422,-96.5842,41.7421,1.95358e-06,995638753,995995827,995213638,996007742,995189229,996005809
13,1,INSIDE,-96.5822,41.7422,-96.592,41.7423,-96.5919,41.7421,1.38502e-06,995213638,996007742,995096000,996011039,995097883,996004283
14,2,OUTSIDE,-96.5822,41.7422,-96.5919,41.7421,-96.5917,41.7418,1.14416e-06,995213638,996007742,995097883,996004283,995099438,995998702
15,1,INSIDE,-96.995,41.7429,-96.9486,41.7429,-96.9486,41.743,1.55949e-06,990288075,996024350,990841915,996024999,990842347,996026603
16,1,INSIDE,-96.995,41.7429,-96.9486,41.743,-96.9485,41.7431,1.67338e-06,990288075,996024350,990842347,996026603,990842811,996028324
17,2,OUTSIDE,-96.933,41.7427,-96.9138,41.7427,-96.9138,41.7428,1.10178e-06,991028044,996020405,991256738,996019186,991257338,996021926
18,1,INSIDE,-96.933,41.7427,-96.9138,41.7428,-96.9137,41.7429,1.08347e-06,991028044,996020405,991257338,996021926,991257928,996024620
19,2,OUTSIDE,-96.9137,41.7429,-96.8675,41.7426,-96.8674,41.7426,1.00834e-06,991258108,996025443,991809926,996016237,991810083,996017275
20,1,INSIDE,-96.9137,41.7429,-96.8674,41.7426,-96.8674,41.7427,1.21556e-06,991258108,996025443,991810083,996017275,991810273,996018526
21,1,INSIDE,-96.9137,41.7429,-96.8674,41.7427,-96.8674,41.7427,1.01897e-06,991258108,996025443,991810273,996018526,991810432,996019575
22,2,OUTSIDE,-96.9137,41.7429,-96.9138,41.7427,-96.8994,41.7426,1.89047e-06,991258108,996025443,991256738,996019186,991428554,996018270
23,2,OUTSIDE,-96.9137,41.7429,-96.8994,41.7426,-96.8918,41.7426,1.00126e-06,991258108,996025443,991428554,996018270,991519555,996017785
24,2,OUTSIDE,-96.8918,41.7426,-96.8675,41.7426,-96.8911,41.7428,1.63332e-06,991519555,996017785,991809926,996016237,991527822,996020944
25,1,INSIDE,-96.8918,41.7426,-96.8911,41.7428,-96.9137,41.7429,1.56159e-06,991519555,996017785,991527822,996020944,991258108,996025443
26,2,OUTSIDE,-96.8468,41.7425,-96.8467,41.7428,-96.8539,41.7427,1.0191e-06,992056192,996014924,992057024,996021773,991972067,996019869
27,2,OUTSIDE,-96.8468,41.7425,-96.8539,41.7427,-96.8675,41.7426,1.94496e-06,992056192,996014924,991972067,996019869,991809926,996016237
28,1,INSIDE,-96.8196,41.7424,-96.8467,41.7429,-96.8467,41.7428,1.27575e-06,992381028,996013193,992057249,996023625,992056978,996021391
29,1,INSIDE,-96.7906,41.7431,-96.8111,41.7424,-96.8079,41.7424,1.21943e-06,992726389,996029510,992482548,996012652,992520783,996012448
30,2,OUTSIDE,-96.7566,49.8803,-97.0194,42.0906,-97.0187,42.0906,0.00241079,993133011,1190190821,989997609,1004320287,990004994,1004320311
31,2,OUTSIDE,-96.7566,49.8803,-97.0187,42.0906,-96.9533,42.0907,0.254757,993133011,1190190821,990004994,1004320311,990785389,1004322832
32,2,OUTSIDE,-96.7634,41.7423,-96.7333,41.7422,-96.7291,41.7423,1.02778e-06,993051365,996009619,993410018,996007708,993460266,996009071
33,2,OUTSIDE,-96.7634,41.7423,-96.7291,41.7423,-96.7249,41.7423,1.02474e-06,993051365,996009619,993460266,996009071,993510365,996010431
34,2,OUTSIDE,-96.7634,41.7423,-96.7488,41.7423,-96.7488,41.7425,1.60087e-06,993051365,996009619,993226033,996010363,993225911,996015581
35,1,INSIDE,-96.7634,41.7423,-96.7488,41.7425,-96.7488,41.7427,1.00786e-06,993051365,996009619,993225911,996015581,993225834,996018865
36,1,INSIDE,-96.7488,41.7423,-96.7208,41.7426,-96.7208,41.7427,1.61437e-06,993226033,996010363,993559973,996016393,993559783,996019142
37,1,INSIDE,-96.7488,41.7423,-96.7208,41.7427,-96.7208,41.7428,1.26766e-06,993226033,996010363,993559783,996019142,993559634,996021301
38,2,OUTSIDE,-96.675,41.7423,-96.6983,41.7423,-96.6882,41.7422,1.34421e-06,994106157,996010356,993828294,996009177,993948861,996006935
39,2,OUTSIDE,-96.675,41.7423,-96.6882,41.7422,-96.6749,41.742,1.76388e-06,994106157,996010356,993948861,996006935,994107070,996003992
40,2,OUTSIDE,-96.7187,41.7424,-96.7107,41.7421,-96.6925,41.7421,2.20166e-06,993584759,996012544,993680119,996006268,993897433,996005109
41,2,OUTSIDE,-96.7187,41.7424,-96.6925,41.7421,-96.6749,41.742,2.12388e-06,993584759,996012544,993897433,996005109,994107070,996003992
42,2,OUTSIDE,-96.5919,41.7422,-96.6104,41.742,-96.6044,41.742,1.12158e-06,995096956,996007610,994876431,996003655,994948556,996002053
