split_id,iteration,is_lookahead,parent_v1x,parent_v1y,parent_v2x,parent_v2y,parent_v3x,parent_v3y,split_src_x,split_src_y,split_tgt_x,split_tgt_y,child1_v1x,child1_v1y,child1_v2x,child1_v2y,child1_v3x,child1_v3y,child2_v1x,child2_v1y,child2_v2x,child2_v2y,child2_v3x,child2_v3y
1,1,1,-97.0311,41.743,-96.5465,41.7417,-96.7566,49.8803,-96.7566,49.8803,-96.7634,41.7423,-96.7566,49.8803,-97.0311,41.743,-96.7634,41.7423,-96.7566,49.8803,-96.7634,41.7423,-96.5465,41.7417
2,2,1,-96.7566,49.8803,-97.0311,41.743,-96.7634,41.7423,-97.0311,41.743,-96.7631,42.087,-97.0311,41.743,-96.7634,41.7423,-96.7631,42.087,-97.0311,41.743,-96.7631,42.087,-96.7566,49.8803
3,3,1,-96.7566,49.8803,-96.7634,41.7423,-96.5465,41.7417,-96.5465,41.7417,-96.7631,42.0494,-96.5465,41.7417,-96.7566,49.8803,-96.7631,42.0494,-96.5465,41.7417,-96.7631,42.0494,-96.7634,41.7423
4,4,1,-97.0311,41.743,-96.7634,41.7423,-96.7631,42.087,-96.7631,42.087,-96.9138,41.7427,-96.7631,42.087,-97.0311,41.743,-96.9138,41.7427,-96.7631,42.087,-96.9138,41.7427,-96.7634,41.7423
5,5,1,-97.0311,41.743,-96.7631,42.087,-96.7566,49.8803,-96.7566,49.8803,-96.9598,41.8345,-96.7566,49.8803,-97.0311,41.743,-96.9598,41.8345,-96.7566,49.8803,-96.9598,41.8345,-96.7631,42.087
6,6,1,-96.5465,41.7417,-96.7566,49.8803,-96.7631,42.0494,-96.7631,42.0494,-96.5557,42.0957,-96.7631,42.0494,-96.5465,41.7417,-96.5557,42.0957,-96.7631,42.0494,-96.5557,42.0957,-96.7566,49.8803
7,7,1,-96.5465,41.7417,-96.7631,42.0494,-96.7634,41.7423,-96.7631,42.0494,-96.6749,41.742,-96.7631,42.0494,-96.7634,41.7423,-96.6749,41.742,-96.7631,42.0494,-96.6749,41.742,-96.5465,41.7417
8,8,1,-96.7631,42.087,-97.0311,41.743,-96.9138,41.7427,-96.7631,42.087,-96.995,41.7429,-96.7631,42.087,-97.0311,41.743,-96.995,41.7429,-96.7631,42.087,-96.995,41.7429,-96.9138,41.7427
9,9,1,-96.7631,42.087,-96.9138,41.7427,-96.7634,41.7423,-96.7631,42.087,-96.8196,41.7424,-96.7631,42.087,-96.9138,41.7427,-96.8196,41.7424,-96.7631,42.087,-96.8196,41.7424,-96.7634,41.7423
10,10,1,-96.7566,49.8803,-97.0311,41.743,-96.9598,41.8345,-96.9598,41.8345,-97.0238,41.9585,-96.9598,41.8345,-96.7566,49.8803,-97.0238,41.9585,-96.9598,41.8345,-97.0238,41.9585,-97.0311,41.743
