split_id,iteration,is_lookahead,p1x,p1y,p2x,p2y,p3x,p3y,split_sx,split_sy,split_tx,split_ty,c1_1x,c1_1y,c1_2x,c1_2y,c1_3x,c1_3y,c2_1x,c2_1y,c2_2x,c2_2y,c2_3x,c2_3y
1,1,1,989857706,996026644,995638753,995995827,993133011,1190190821,993133011,1190190821,993051365,996009619,993133011,1190190821,989857706,996026644,993051365,996009619,993133011,1190190821,993051365,996009619,995638753,995995827
2,2,1,993133011,1190190821,989857706,996026644,993051365,996009619,989857706,996026644,993054823,1004234264,989857706,996026644,993051365,996009619,993054823,1004234264,989857706,996026644,993054823,1004234264,993133011,1190190821
3,3,1,993133011,1190190821,993051365,996009619,995638753,995995827,995638753,995995827,993054446,1003338250,995638753,995995827,993133011,1190190821,993054446,1003338250,995638753,995995827,993054446,1003338250,993051365,996009619
4,4,1,989857706,996026644,993051365,996009619,993054823,1004234264,993054823,1004234264,991256738,996019186,993054823,1004234264,989857706,996026644,991256738,996019186,993054823,1004234264,991256738,996019186,993051365,996009619
5,5,1,989857706,996026644,993054823,1004234264,993133011,1190190821,993133011,1190190821,990708181,998209978,993133011,1190190821,989857706,996026644,990708181,998209978,993133011,1190190821,990708181,998209978,993054823,1004234264
6,6,1,995638753,995995827,993133011,1190190821,993054446,1003338250,993054446,1003338250,995529752,1004443387,993054446,1003338250,995638753,995995827,995529752,1004443387,993054446,1003338250,995529752,1004443387,993133011,1190190821
7,7,1,995638753,995995827,993054446,1003338250,993051365,996009619,993054446,1003338250,994107070,996003992,993054446,1003338250,993051365,996009619,994107070,996003992,993054446,1003338250,994107070,996003992,995638753,995995827
8,8,1,993054823,1004234264,989857706,996026644,991256738,996019186,993054823,1004234264,990288075,996024350,993054823,1004234264,989857706,996026644,990288075,996024350,993054823,1004234264,990288075,996024350,991256738,996019186
9,9,1,993054823,1004234264,991256738,996019186,993051365,996009619,993054823,1004234264,992381028,996013193,993054823,1004234264,991256738,996019186,992381028,996013193,993054823,1004234264,992381028,996013193,993051365,996009619
10,10,1,993133011,1190190821,989857706,996026644,990708181,998209978,990708181,998209978,989944450,1001168925,990708181,998209978,993133011,1190190821,989944450,1001168925,990708181,998209978,989944450,1001168925,989857706,996026644
11,11,1,993133011,1190190821,990708181,998209978,993054823,1004234264,993133011,1190190821,991850171,1001141688,993133011,1190190821,990708181,998209978,991850171,1001141688,993133011,1190190821,991850171,1001141688,993054823,1004234264
12,12,1,993054446,1003338250,995638753,995995827,995529752,1004443387,993054446,1003338250,995579489,1000588765,993054446,1003338250,995638753,995995827,995579489,1000588765,993054446,1003338250,995579489,1000588765,995529752,1004443387
13,13,1,993054446,1003338250,995529752,1004443387,993133011,1190190821,993054446,1003338250,995515979,1005510827,993054446,1003338250,995529752,1004443387,995515979,1005510827,993054446,1003338250,995515979,1005510827,993133011,1190190821
14,14,1,993054446,1003338250,993051365,996009619,994107070,996003992,993054446,1003338250,993560628,996006905,993054446,1003338250,993051365,996009619,993560628,996006905,993054446,1003338250,993560628,996006905,994107070,996003992
15,15,1,993054446,1003338250,994107070,996003992,995638753,995995827,993054446,1003338250,995099438,995998702,993054446,1003338250,994107070,996003992,995099438,995998702,993054446,1003338250,995099438,995998702,995638753,995995827
16,16,1,993054823,1004234264,989857706,996026644,990288075,996024350,993054823,1004234264,990059285,996025570,993054823,1004234264,989857706,996026644,990059285,996025570,993054823,1004234264,990059285,996025570,990288075,996024350
17,17,1,993054823,1004234264,990288075,996024350,991256738,996019186,993054823,1004234264,990840945,996021403,993054823,1004234264,990288075,996024350,990840945,996021403,993054823,1004234264,990840945,996021403,991256738,996019186
18,18,1,993054823,1004234264,991256738,996019186,992381028,996013193,993054823,1004234264,991809926,996016237,993054823,1004234264,991256738,996019186,991809926,996016237,993054823,1004234264,991809926,996016237,992381028,996013193
19,19,1,993054823,1004234264,992381028,996013193,993051365,996009619,993054823,1004234264,992725662,996011356,993054823,1004234264,992381028,996013193,992725662,996011356,993054823,1004234264,992725662,996011356,993051365,996009619
20,20,1,990708181,998209978,993133011,1190190821,989944450,1001168925,990708181,998209978,989979679,1003257336,990708181,998209978,993133011,1190190821,989979679,1003257336,990708181,998209978,989979679,1003257336,989944450,1001168925
21,21,1,990708181,998209978,989944450,1001168925,989857706,996026644,990708181,998209978,989901740,998637042,990708181,998209978,989944450,1001168925,989901740,998637042,990708181,998209978,989901740,998637042,989857706,996026644
22,22,1,993133011,1190190821,990708181,998209978,991850171,1001141688,990708181,998209978,991922944,1011866148,990708181,998209978,991850171,1001141688,991922944,1011866148,990708181,998209978,991922944,1011866148,993133011,1190190821
23,23,1,993133011,1190190821,991850171,1001141688,993054823,1004234264,991850171,1001141688,993055862,1006705252,991850171,1001141688,993054823,1004234264,993055862,1006705252,991850171,1001141688,993055862,1006705252,993133011,1190190821
24,24,1,993054446,1003338250,995638753,995995827,995579489,1000588765,993054446,1003338250,995608201,998363604,993054446,1003338250,995638753,995995827,995608201,998363604,993054446,1003338250,995608201,998363604,995579489,1000588765
25,25,1,993054446,1003338250,995579489,1000588765,995529752,1004443387,993054446,1003338250,995554423,1002531420,993054446,1003338250,995579489,1000588765,995554423,1002531420,993054446,1003338250,995554423,1002531420,995529752,1004443387
26,26,1,993054446,1003338250,995529752,1004443387,995515979,1005510827,995515979,1005510827,994641805,1004046950,995515979,1005510827,993054446,1003338250,994641805,1004046950,995515979,1005510827,994641805,1004046950,995529752,1004443387
27,27,1,993054446,1003338250,995515979,1005510827,993133011,1190190821,995515979,1005510827,993054675,1003882785,995515979,1005510827,993133011,1190190821,993054675,1003882785,995515979,1005510827,993054675,1003882785,993054446,1003338250
28,28,1,993054446,1003338250,993051365,996009619,993560628,996006905,993051365,996009619,993560291,996011786,993051365,996009619,993560628,996006905,993560291,996011786,993051365,996009619,993560291,996011786,993054446,1003338250
29,29,1,993054446,1003338250,993560628,996006905,994107070,996003992,994107070,996003992,993560127,996014165,994107070,996003992,993054446,1003338250,993560127,996014165,994107070,996003992,993560127,996014165,993560628,996006905
30,30,1,993054446,1003338250,994107070,996003992,995099438,995998702,995099438,995998702,994104658,996020795,995099438,995998702,993054446,1003338250,994104658,996020795,995099438,995998702,994104658,996020795,994107070,996003992
31,31,1,993054446,1003338250,995099438,995998702,995638753,995995827,995638753,995995827,995096000,996011039,995638753,995995827,993054446,1003338250,995096000,996011039,995638753,995995827,995096000,996011039,995099438,995998702
32,32,1,993054823,1004234264,989857706,996026644,990059285,996025570,993054823,1004234264,989969571,996026048,993054823,1004234264,989857706,996026644,989969571,996026048,993054823,1004234264,989969571,996026048,990059285,996025570
