id,v1x,v1y,v2x,v2y,v3x,v3y,type,num_polygon_edges
1,-96.7207,41.7424,-96.7333,41.7422,-96.7207,41.7422,INTERNAL,0
2,-96.933,41.7427,-96.9485,41.743,-96.9487,41.7428,INTERNAL,0
3,-96.7906,41.7431,-96.8196,41.7426,-96.8196,41.7424,INTERNAL,0
4,-97.0194,42.0906,-97.0185,42.0377,-96.9598,41.8345,INTERNAL,0
5,-96.5822,41.7422,-96.592,41.7423,-96.5919,41.7421,INTERNAL,0
6,-96.995,41.7429,-96.9486,41.7429,-96.9486,41.743,INTERNAL,0
7,-96.995,41.7429,-96.9486,41.743,-96.9485,41.7431,INTERNAL,0
8,-96.933,41.7427,-96.9138,41.7428,-96.9137,41.7429,INTERNAL,0
9,-96.9137,41.7429,-96.8674,41.7426,-96.8674,41.7427,INTERNAL,0
10,-96.9137,41.7429,-96.8674,41.7427,-96.8674,41.7427,INTERNAL,0
11,-96.8918,41.7426,-96.8911,41.7428,-96.9137,41.7429,INTERNAL,0
12,-96.8196,41.7424,-96.8467,41.7429,-96.8467,41.7428,INTERNAL,0
13,-96.7906,41.7431,-96.8111,41.7424,-96.8079,41.7424,INTERNAL,0
14,-96.7634,41.7423,-96.7488,41.7425,-96.7488,41.7427,INTERNAL,0
15,-96.7488,41.7423,-96.7208,41.7426,-96.7208,41.7427,INTERNAL,0
16,-96.7488,41.7423,-96.7208,41.7427,-96.7208,41.7428,INTERNAL,0
17,-96.5694,41.7421,-96.592,41.7423,-96.5711,41.742,INTERNAL,0
18,-96.9926,41.7725,-97.0143,41.7429,-97.0142,41.7429,INTERNAL,0
19,-96.933,41.7427,-96.948,41.7441,-96.9483,41.7434,INTERNAL,0
20,-96.933,41.7427,-96.9483,41.7434,-96.9485,41.743,INTERNAL,0
21,-96.933,41.7427,-96.9137,41.7429,-96.9137,41.743,INTERNAL,0
22,-96.8675,41.7426,-96.8467,41.7428,-96.8467,41.743,INTERNAL,0
23,-96.8196,41.7424,-96.8466,41.7433,-96.8467,41.7431,INTERNAL,0
24,-96.7999,41.7424,-96.7906,41.7431,-96.8022,41.7426,INTERNAL,0
25,-96.7906,41.7431,-96.7999,41.7424,-96.7933,41.7424,INTERNAL,0
26,-96.7906,41.7431,-96.7933,41.7424,-96.7907,41.7424,INTERNAL,0
27,-96.8196,41.7426,-96.7906,41.7431,-96.7906,41.7432,INTERNAL,0
28,-96.7907,41.7424,-96.7784,41.7426,-96.7783,41.7428,INTERNAL,0
29,-96.7907,41.7424,-96.7783,41.7428,-96.7783,41.743,INTERNAL,0
30,-96.7783,41.743,-96.7784,41.7426,-96.7714,41.7425,INTERNAL,0
31,-96.7783,41.743,-96.7714,41.7425,-96.7634,41.7423,INTERNAL,0
32,-96.7488,41.7435,-96.7634,41.7423,-96.7573,41.7424,INTERNAL,0
33,-96.7488,41.7435,-96.7573,41.7424,-96.7488,41.7427,INTERNAL,0
34,-96.7208,41.7426,-96.7322,41.7423,-96.7207,41.7424,INTERNAL,0
35,-96.6751,41.7426,-96.6983,41.7423,-96.6863,41.7423,INTERNAL,0
36,-96.6751,41.7426,-96.6863,41.7423,-96.675,41.7423,INTERNAL,0
37,-96.6752,41.7431,-96.6104,41.742,-96.6104,41.7421,INTERNAL,0
38,-96.6752,41.7431,-96.6104,41.7421,-96.6105,41.7421,INTERNAL,0
39,-96.6104,41.742,-96.6752,41.7429,-96.6751,41.7429,INTERNAL,0
40,-96.6104,41.742,-96.6751,41.7429,-96.6751,41.7428,INTERNAL,0
41,-96.6104,41.742,-96.6751,41.7428,-96.6751,41.7427,INTERNAL,0
42,-96.6352,41.7419,-96.6751,41.7427,-96.6586,41.7423,INTERNAL,0
43,-96.6751,41.7427,-96.6668,41.7426,-96.6246,41.7422,INTERNAL,0
44,-96.6751,41.7427,-96.6246,41.7422,-96.5917,41.7418,INTERNAL,0
45,-96.5917,41.7418,-96.6668,41.7426,-96.6639,41.7425,INTERNAL,0
46,-96.5917,41.7418,-96.6639,41.7425,-96.6605,41.7425,INTERNAL,0
47,-96.9926,41.7725,-97.0199,41.743,-97.0191,41.743,INTERNAL,0
48,-96.9926,41.7725,-97.0171,41.743,-97.017,41.743,INTERNAL,0
49,-96.9926,41.7725,-97.017,41.743,-97.0166,41.743,INTERNAL,0
50,-96.9926,41.7725,-97.0166,41.743,-97.0143,41.7429,INTERNAL,0
