triangle_id,edge_idx,sx,sy,tx,ty
61,0,-97.006,41.7429,-97.0061,41.7429
62,0,-97.006,41.7429,-97.006,41.7429
63,0,-97.0055,41.7429,-97.006,41.7429
64,0,-97.0054,41.7429,-97.0055,41.7429
65,0,-97.0053,41.7429,-97.0054,41.7429
153,0,-96.7104,41.7424,-96.7105,41.7424
154,0,-96.7101,41.7424,-96.7104,41.7424
453,0,-96.5998,41.7421,-96.6012,41.7421
455,0,-96.5552,41.754,-96.5552,41.7527
476,0,-97.0198,41.7475,-97.0198,41.7486
477,0,-97.0198,41.7486,-97.0198,41.7506
478,0,-97.0198,41.7506,-97.0198,41.7521
535,0,-97.0197,41.8663,-97.0197,41.8735
555,0,-97.0197,41.7742,-97.0197,41.7761
558,0,-97.0195,41.801,-97.0195,41.803
559,0,-97.0196,41.8303,-97.0196,41.8336
571,0,-97.0196,41.8172,-97.0195,41.8188
574,0,-96.8922,42.0905,-96.8868,42.0905
575,0,-96.8868,42.0905,-96.8865,42.0905
576,0,-96.8865,42.0905,-96.8838,42.0905
577,0,-96.8838,42.0905,-96.8827,42.0905
578,0,-96.8827,42.0905,-96.8823,42.0905
579,0,-96.8823,42.0905,-96.8817,42.0905
580,0,-96.8817,42.0905,-96.8794,42.0905
583,0,-96.875,42.0905,-96.8737,42.0905
584,0,-96.8737,42.0905,-96.8725,42.0904
585,0,-96.8725,42.0904,-96.872,42.0905
586,0,-96.872,42.0905,-96.8641,42.0905
587,0,-96.9067,42.0905,-96.9033,42.0905
588,0,-96.9033,42.0905,-96.9012,42.0905
589,0,-96.9012,42.0905,-96.8995,42.0905
590,0,-96.8995,42.0905,-96.899,42.0905
591,0,-96.899,42.0905,-96.8949,42.0905
592,0,-96.8949,42.0905,-96.8928,42.0905
595,0,-96.907,42.0905,-96.9067,42.0905
596,0,-96.9084,42.0905,-96.907,42.0905
597,0,-96.91,42.0905,-96.9085,42.0905
598,0,-96.9118,42.0905,-96.91,42.0905
599,0,-96.9123,42.0905,-96.9118,42.0905
600,0,-96.9143,42.0905,-96.9123,42.0905
601,0,-96.9319,42.0905,-96.9298,42.0905
602,0,-96.9342,42.0905,-96.9319,42.0905
603,0,-96.9375,42.0905,-96.9342,42.0905
604,0,-96.9378,42.0905,-96.9375,42.0905
605,0,-96.9379,42.0905,-96.9378,42.0905
606,0,-96.9379,42.0905,-96.9379,42.0905
607,0,-96.9391,42.0905,-96.9379,42.0905
608,0,-96.9402,42.0905,-96.9391,42.0905
609,0,-96.9415,42.0905,-96.9402,42.0905
610,0,-96.9452,42.0905,-96.9415,42.0905
611,0,-96.9464,42.0905,-96.9452,42.0905
612,0,-96.9479,42.0905,-96.9464,42.0905
613,0,-96.9493,42.0905,-96.9479,42.0905
614,0,-96.9506,42.0905,-96.9493,42.0905
615,0,-96.9519,42.0905,-96.9506,42.0905
616,0,-96.9533,42.0905,-96.9519,42.0905
617,0,-96.9163,42.0905,-96.9143,42.0905
618,0,-96.9166,42.0905,-96.9163,42.0905
619,0,-96.9185,42.0905,-96.9166,42.0905
620,0,-96.9207,42.0905,-96.9185,42.0905
621,0,-96.9207,42.0905,-96.9207,42.0905
622,0,-96.9209,42.0905,-96.9207,42.0905
623,0,-96.9209,42.0905,-96.9209,42.0905
624,0,-96.9226,42.0905,-96.9218,42.0905
625,0,-96.9227,42.0905,-96.9226,42.0905
626,0,-96.9229,42.0905,-96.9227,42.0905
627,0,-96.9234,42.0905,-96.9229,42.0905
628,0,-96.9235,42.0905,-96.9234,42.0905
629,0,-96.9251,42.0905,-96.9235,42.0905
630,0,-96.9275,42.0905,-96.9251,42.0905
631,0,-96.9298,42.0905,-96.9275,42.0905
632,0,-96.7844,42.0903,-96.783,42.0903
633,0,-96.783,42.0903,-96.7819,42.0903
634,0,-96.7814,42.0903,-96.78,42.0903
637,0,-96.774,42.0903,-96.7715,42.0903
638,0,-96.7993,42.0904,-96.7971,42.0903
639,0,-96.7971,42.0903,-96.7955,42.0903
640,0,-96.7955,42.0903,-96.7936,42.0903
641,0,-96.7936,42.0903,-96.7919,42.0903
642,0,-96.7919,42.0903,-96.7884,42.0903
643,0,-96.7881,42.0903,-96.7866,42.0903
646,0,-96.8012,42.0904,-96.7993,42.0904
647,0,-96.8031,42.0904,-96.8013,42.0904
648,0,-96.8059,42.0904,-96.8042,42.0904
649,0,-96.8316,42.0904,-96.8279,42.0904
650,0,-96.8279,42.0904,-96.826,42.0904
651,0,-96.826,42.0904,-96.8251,42.0904
652,0,-96.8251,42.0904,-96.8237,42.0904
653,0,-96.8237,42.0904,-96.8235,42.0904
654,0,-96.8235,42.0904,-96.8234,42.0904
655,0,-96.8234,42.0904,-96.8224,42.0904
658,0,-96.8183,42.0904,-96.8181,42.0904
659,0,-96.8181,42.0904,-96.8158,42.0904
660,0,-96.8158,42.0904,-96.814,42.0904
661,0,-96.814,42.0904,-96.8097,42.0904
662,0,-96.8097,42.0904,-96.809,42.0904
663,0,-96.809,42.0904,-96.8086,42.0904
664,0,-96.8086,42.0904,-96.8075,42.0904
665,0,-96.8075,42.0904,-96.8064,42.0904
666,0,-96.8623,42.0904,-96.861,42.0904
667,0,-96.861,42.0904,-96.8603,42.0905
