leaf_id,region_code,region,v1x,v1y,v2x,v2y,v3x,v3y,area,qv1x,qv1y,qv2x,qv2y,qv3x,qv3y
1,2,OUTSIDE,-93,31,-95.5,33.5,-96,33,1.25,1037950430,739688812,1008124268,799341135,1002159036,787410671
2,2,OUTSIDE,-93,31,-97,32,-98,31,2.5,1037950430,739688812,990228571,763549741,978298106,739688812
3,2,OUTSIDE,-98,36,-98,31,-97,32,2.5,978298106,858993459,978298106,739688812,990228571,763549741
4,2,OUTSIDE,-98,36,-96,33,-95.5,33.5,1.25,978298106,858993459,1002159036,787410671,1008124268,799341135
5,1,INSIDE,-96,33,-96.75,32.25,-96,32,0.375,1002159036,787410671,993211187,769514974,1002159036,763549741
6,2,OUTSIDE,-96,33,-96,32,-93,31,1.5,1002159036,787410671,1002159036,763549741,1037950430,739688812
7,2,OUTSIDE,-97,32,-93,31,-96,32,0.5,990228571,763549741,1037950430,739688812,1002159036,763549741
8,1,INSIDE,-97,32,-96,32,-96.75,32.25,0.125,990228571,763549741,1002159036,763549741,993211187,769514974
9,1,INSIDE,-97,32,-96.75,32.25,-97,33,0.125,990228571,763549741,993211187,769514974,990228571,787410671
10,2,OUTSIDE,-97,32,-97,33,-98,36,0.5,990228571,763549741,990228571,787410671,978298106,858993459
11,2,OUTSIDE,-96,33,-98,36,-97,33,1.5,1002159036,787410671,978298106,858993459,990228571,787410671
12,1,INSIDE,-96,33,-97,33,-96.75,32.25,0.375,1002159036,787410671,990228571,787410671,993211187,769514974
