split_id,iteration,is_lookahead,parent_v1x,parent_v1y,parent_v2x,parent_v2y,parent_v3x,parent_v3y,split_src_x,split_src_y,split_tgt_x,split_tgt_y,child1_v1x,child1_v1y,child1_v2x,child1_v2y,child1_v3x,child1_v3y,child2_v1x,child2_v1y,child2_v2x,child2_v2y,child2_v3x,child2_v3y
1,1,1,-98,31,-93,31,-98,36,-98,31,-95.5,33.5,-98,31,-93,31,-95.5,33.5,-98,31,-95.5,33.5,-98,36
2,2,1,-98,31,-93,31,-95.5,33.5,-93,31,-96.75,32.25,-93,31,-95.5,33.5,-96.75,32.25,-93,31,-96.75,32.25,-98,31
3,3,1,-98,31,-95.5,33.5,-98,36,-98,36,-96.75,32.25,-98,36,-98,31,-96.75,32.25,-98,36,-96.75,32.25,-95.5,33.5
4,4,1,-93,31,-95.5,33.5,-96.75,32.25,-93,31,-96,33,-93,31,-95.5,33.5,-96,33,-93,31,-96,33,-96.75,32.25
5,5,1,-93,31,-96.75,32.25,-98,31,-93,31,-97,32,-93,31,-96.75,32.25,-97,32,-93,31,-97,32,-98,31
6,6,1,-98,36,-98,31,-96.75,32.25,-98,36,-97,32,-98,36,-98,31,-97,32,-98,36,-97,32,-96.75,32.25
7,7,1,-98,36,-96.75,32.25,-95.5,33.5,-98,36,-96,33,-98,36,-96.75,32.25,-96,33,-98,36,-96,33,-95.5,33.5
8,9,1,-93,31,-96,33,-96.75,32.25,-96,33,-96,32,-96,33,-96.75,32.25,-96,32,-96,33,-96,32,-93,31
9,10,0,-93,31,-96.75,32.25,-97,32,-97,32,-96,32,-97,32,-93,31,-96,32,-97,32,-96,32,-96.75,32.25
10,13,1,-98,36,-97,32,-96.75,32.25,-97,32,-97,33,-97,32,-96.75,32.25,-97,33,-97,32,-97,33,-98,36
11,14,0,-98,36,-96.75,32.25,-96,33,-96,33,-97,33,-96,33,-98,36,-97,33,-96,33,-97,33,-96.75,32.25
