split_id,iteration,is_lookahead,p1x,p1y,p2x,p2y,p3x,p3y,split_sx,split_sy,split_tx,split_ty,c1_1x,c1_1y,c1_2x,c1_2y,c1_3x,c1_3y,c2_1x,c2_1y,c2_2x,c2_2y,c2_3x,c2_3y
1,1,1,978298106,739688812,1037950430,739688812,978298106,858993459,978298106,739688812,1008124268,799341135,978298106,739688812,1037950430,739688812,1008124268,799341135,978298106,739688812,1008124268,799341135,978298106,858993459
2,2,1,978298106,739688812,1037950430,739688812,1008124268,799341135,1037950430,739688812,993211187,769514974,1037950430,739688812,1008124268,799341135,993211187,769514974,1037950430,739688812,993211187,769514974,978298106,739688812
3,3,1,978298106,739688812,1008124268,799341135,978298106,858993459,978298106,858993459,993211187,769514974,978298106,858993459,978298106,739688812,993211187,769514974,978298106,858993459,993211187,769514974,1008124268,799341135
4,4,1,1037950430,739688812,1008124268,799341135,993211187,769514974,1037950430,739688812,1002159036,787410671,1037950430,739688812,1008124268,799341135,1002159036,787410671,1037950430,739688812,1002159036,787410671,993211187,769514974
5,5,1,1037950430,739688812,993211187,769514974,978298106,739688812,1037950430,739688812,990228571,763549741,1037950430,739688812,993211187,769514974,990228571,763549741,1037950430,739688812,990228571,763549741,978298106,739688812
6,6,1,978298106,858993459,978298106,739688812,993211187,769514974,978298106,858993459,990228571,763549741,978298106,858993459,978298106,739688812,990228571,763549741,978298106,858993459,990228571,763549741,993211187,769514974
7,7,1,978298106,858993459,993211187,769514974,1008124268,799341135,978298106,858993459,1002159036,787410671,978298106,858993459,993211187,769514974,1002159036,787410671,978298106,858993459,1002159036,787410671,1008124268,799341135
8,9,1,1037950430,739688812,1002159036,787410671,993211187,769514974,1002159036,787410671,1002159036,763549741,1002159036,787410671,993211187,769514974,1002159036,763549741,1002159036,787410671,1002159036,763549741,1037950430,739688812
9,10,0,1037950430,739688812,993211187,769514974,990228571,763549741,990228571,763549741,1002159036,763549741,990228571,763549741,1037950430,739688812,1002159036,763549741,990228571,763549741,1002159036,763549741,993211187,769514974
10,13,1,978298106,858993459,990228571,763549741,993211187,769514974,990228571,763549741,990228571,787410671,990228571,763549741,993211187,769514974,990228571,787410671,990228571,763549741,990228571,787410671,978298106,858993459
11,14,0,978298106,858993459,993211187,769514974,1002159036,787410671,1002159036,787410671,990228571,787410671,1002159036,787410671,978298106,858993459,990228571,787410671,1002159036,787410671,990228571,787410671,993211187,769514974
